evaluation,theta_radians,energy_mev,best_so_far_mev
1,0.0,-0.4362899999999952,-0.4362899999999952
2,0.5,-1.7148662027943549,-1.7148662027943549
3,1.0,-1.1273437372678345,-1.7148662027943549
4,0.25,-1.29961428725335,-1.7148662027943549
5,0.625,-1.7452522165128332,-1.7452522165128332
6,0.75,-1.6562273937546417,-1.7452522165128332
7,0.575,-1.7474423537664094,-1.7474423537664094
8,0.5249999999999999,-1.7305003714920821,-1.7474423537664094
9,0.6,-1.7487395791555675,-1.7487395791555675
10,0.625,-1.7452522165128332,-1.7487395791555675
11,0.5875,-1.7486890593810216,-1.7487395791555675
12,0.605,-1.748424846981897,-1.7487395791555675
13,0.595,-1.7488629182384963,-1.7488629182384963
14,0.59,-1.7487948611472093,-1.7488629182384963
15,0.5974999999999999,-1.7488251731382345,-1.7488629182384963
16,0.59375,-1.748863847372316,-1.748863847372316
17,0.5930428932188134,-1.7488590755580509,-1.748863847372316
18,0.5941035533905933,-1.7488647978051115,-1.7488647978051115
19,0.5944571067811866,-1.748864791254816,-1.7488647978051115
20,0.5939267766952967,-1.7488644422115938,-1.7488647978051115
21,0.5942035533905933,-1.7488648930109338,-1.7488648930109338
22,0.5943035533905933,-1.7488649116581039,-1.7488649116581039
23,0.5944035533905933,-1.7488648537466296,-1.7488649116581039
