evaluation,theta_radians,energy_mev,best_so_far_mev
1,0.0,-0.4362899999999996,-0.4362899999999996
2,0.5,-1.714866220052429,-1.714866220052429
3,1.0,-1.127343687136174,-1.714866220052429
4,0.25,-1.2996143283167472,-1.714866220052429
5,0.625,-1.7452523318947115,-1.7452523318947115
6,0.75,-1.6562273667985208,-1.7452523318947115
7,0.575,-1.747442493209764,-1.747442493209764
8,0.5249999999999999,-1.7305002650311594,-1.747442493209764
9,0.6,-1.7487396245159958,-1.7487396245159958
10,0.625,-1.7452523318947115,-1.7487396245159958
11,0.5875,-1.7486890120022003,-1.7487396245159958
12,0.6024999999999999,-1.748606258585304,-1.7487396245159958
13,0.595,-1.748862850318179,-1.748862850318179
14,0.59,-1.7487946640740342,-1.748862850318179
15,0.5974999999999999,-1.7488252645799518,-1.748862850318179
16,0.59375,-1.7488637524358182,-1.7488637524358182
17,0.5930428932188134,-1.7488590262216337,-1.7488637524358182
18,0.5941035533905933,-1.7488647948852916,-1.7488647948852916
19,0.5944571067811866,-1.748864705743864,-1.7488647948852916
20,0.5939267766952967,-1.748864328453466,-1.7488647948852916
21,0.5942035533905933,-1.7488648556109525,-1.7488648556109525
22,0.5943035533905933,-1.7488648537036031,-1.7488648556109525
